課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,,V,,,4805902,EE059B,ZA612,英語聽講(二),English Listening and Speaking in Lab (II),英聽,電機一乙,必修,半,1,李家遠,4-78.,全人302,,,,,須繳語言實習費600元,語言中心,57,54,0,2,3,英語,4800B,0
◎,,,V,,4806002,EE060B,MA060,微積分(下),Calculus (II),一般,電機一乙,必修,半,3,許大偉,1-34.,懷恩105,4-1.,懷恩204,,,,電機系,72,61,3,3,5,國語,4800B,9
◎,,,V,,4815402,EE154B,PH145,普通物理實驗(二),General Physics Laboratory (II),一般,電機一乙,必修,半,1,游仁德,1-567.,,,,,,,電機系,70,58,1.5,1.5,2,國語,4800B,12
◎,,,V,,4824202,EE242B,CS242,電路實驗,Circuit Laboratory,一般,電機一乙,必修,半,1,陳德鑫,3-567.,電學306,,,,,,電機系,57,57,1.5,1.5,4,國語,4800B,0
◎,,,V,,4824302,EE243B,BE243,計算機概論(二),Introduction to Computer (II),一般,電機一乙,必修,半,3,王佳盈,2-234.,科學B06,,,,,,電機系,75,76,3,3,25,國語,4800B,0
◎,,,V,,4831602,EE316B,ZA316,工程數學(一),Engineering Mathematics(1),一般,電機一乙,必修,半,3,許文良,3-8.,教學512,4-34.,教學512,,,,電機系,70,61,3,3,7,國語,4800B,9
◎,,,,,4860902,EE609B,ZA610,英文(二),English (II),一般,電機一乙,必修,半,1,吳維真,5-34.,懷恩103,,,,,,語言中心,45,39,2,2,0,英語,4800B,0
◎,,,V,,4862902,EE629B,ZA629,電路學(一),Circuit Theory(I),一般,電機一乙,必修,半,3,許世哲,2-78C.,教學512,,,,,,電機系,70,73,3,3,22,國語,4800B,2
,,,,,4899102,EE991B,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,電機一乙,必修,半,0,,3-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,學務處,30,26,0,0,0,國語,4800B,0
,,,,,4899202,EE992B,ZA996,環境服務學習（二）,Environment  Service-Learning（II）,一般,電機一乙,必修,半,0,,3-B.,,,,,,缺席2次未補課即扣考，下學期需加選重修,學務處,30,29,0,0,0,國語,4800B,0
◎,,,V,,4811519,EE115S,ZA115,書報討論,Seminar,一般,電機國際碩一,必修,半,1,賴裕昆,4-EFG.,,,,,,,電機系,35,1,3,3,0,國語,4800B,9
◎,,,,,4836019,EE360S,ZA360,電力系統之運轉與控制,Power System Control and Operation,一般,電機國際碩一,選修,半,3,許世哲,4-234.,電學510,,,,,全英語授課,電機系,5,0,0,0,0,英語,4800B,5
