課綱,跨部,跨系,已選,停修與否,語音代碼,課程代碼,科目代號,課程名稱,課程英文名稱,課程類別,開課班級,必選修,性質,學分,授課教師,時間1,教室1,時間2,教室2,時間3,教室3,備註,權責單位,開課人數,實際修課人數,開課鐘點數,教師授課鐘點數,選課登記人數,授課語言,系代碼,選課餘額
◎,V,V,,,2601001,ED010A,ED010,教育議題專題,Seminar On Education Issues,學程,教育學程－中,教必,半,2,張淑慧,1-78.,全人415,,,,,20屆(含)以後為必選修,師培中心,25,25,2,2,43,國語,8401B,0
◎,V,V,,,2607001,ED070A,ED070,教育哲學,The Philosophy of Education,學程,教育學程－中,教必,半,2,楊慶麟,2-78.,全人405,,,,,,師培中心,20,24,2,2,25,國語,8401B,1
◎,V,V,,,2607401,ED074A,ED074,班級經營,Class Management,學程,教育學程－中,教必,半,2,王保進,2-34.,全人415,,,,,108學年度新課程，需同時選班級經營實踐,師培中心,25,25,2,2,37,國語,8401B,0
◎,V,V,,,2608401,ED084A,ED084,輔導原理與實務,Introduction of Guidance and Counseling,學程,教育學程－中,教必,半,2,余振民,2-56.,全人415,,,,,,師培中心,25,25,2,2,27,國語,8401B,0
◎,V,V,,,2611501,ED115A,ED115,性別教育,Gender Education,學程,教育學程－中,教選,半,2,余振民,4-56.,全人415,,,,,,師培中心,15,12,2,2,47,國語,8401B,3
,,,,,2613201,ED132A,ED132,國文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,,2-56.,全人409,,,,,需先修畢國文教材教法課程,師培中心,15,7,2,0,7,國語,8401B,8
◎,V,V,,,2613301,ED133A,ED133,英文教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林俊閎,3-56.,全人417,,,,,需先修畢英文教材教法課程,師培中心,15,6,2,2,6,國語,8401B,9
◎,V,V,,,2613401,ED134A,ED134,數學教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,林世倡,1-CD.,全人418,,,,,需先修畢數學教材教法課程,師培中心,15,8,2,2,8,國語,8401B,7
◎,V,V,,,2613501,ED135A,ED135,輔導教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,張淑慧,3-78.,全人409,,,,,需先修畢輔導教材教法課程,師培中心,15,0,2,2,0,國語,8401B,15
◎,V,V,,,2613601,ED136A,ED136,生物教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,梁忠三,1-78.,全人417,,,,,需先修畢生物教材教法課程,師培中心,10,1,2,2,1,國語,8401B,9
◎,V,V,,,2613801,ED138A,ED138,多媒體設計教學實習,Teaching Practice,學程,教育學程－中,教必,半,2,陳美燕,4-DE.,全人409,,,,,需先修畢多媒體設計教材教法課程,師培中心,10,5,2,2,5,國語,8401B,5
◎,V,V,,,2614001,ED140A,ED140,班級經營實踐,The Internship of Class Management,學程,教育學程－中,教選,半,1,王保進,2-B.,全人415,,,,,108學年度新課程，需同時選班級經營課程,師培中心,25,25,1,1,35,國語,8401B,0
◎,V,V,,,2614201,ED142A,ED142,適性教學策略與實踐,Adaptive Instructional Strategies and Practice,學程,教育學程－中,教選,半,2,林俊閎,1-56.,全人415,,,,,,師培中心,25,25,2,2,41,國語,8401B,0
◎,V,V,,,2614401,ED144A,ED144,多媒體教學素材(語文),Instructional Design for Multimedia Materials (Language),學程,教育學程－中,教選,半,2,林俊閎,5-34.,全人405,,,,,,師培中心,12,10,2,2,19,國語,8401B,2
◎,V,V,,,2614501,ED145A,ED145,多媒體教學素材(數理),Instructional Design for Multimedia Materials (Science and Math),學程,教育學程－中,教選,半,2,吳昱鋒,4-78.,全人405,,,,,,師培中心,12,4,2,2,6,國語,8401B,8
◎,,V,,,2510101,GQ101A,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,鄒仁鴻,1-56.,教學801,,,,,,校牧室,60,55,2,2,451,國語,,0
◎,,V,,,2510102,GQ101B,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,錢玉舜,3-CD.,教學601,,,,,,校牧室,60,55,2,2,1586,國語,,0
◎,,V,,,2510103,GQ101C,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,馬育慧,2-78.,教學601,,,,,,校牧室,60,55,2,2,508,國語,,0
◎,,V,,,2510104,GQ101D,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,吳昶興,4-78.,教學801,,,,,,校牧室,60,55,2,2,1613,國語,,0
◎,,V,,,2510105,GQ101E,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,謝品然,1-CD.,教學601,,,,,,校牧室,60,55,2,2,1354,國語,,0
◎,,V,,,2510106,GQ101F,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,吳昶興,4-56.,教學801,,,,,,校牧室,60,55,2,2,1518,國語,,0
◎,,V,,,2510107,GQ101G,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,李信毅,4-34.,工學310,,,,,,校牧室,60,55,2,2,1296,國語,,0
◎,,V,,,2510108,GQ101H,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,馬育慧,3-78.,教學601,,,,,,校牧室,60,55,2,2,570,國語,,0
◎,,V,,,2510109,GQ101I,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,馬育慧,5-56.,教學801,,,,,,校牧室,60,55,2,2,483,國語,,0
◎,,V,,,2510110,GQ101J,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,曾念粵,4-EF.,教學601,,,,,,校牧室,60,55,2,2,1092,國語,,0
◎,,V,,,2510111,GQ101K,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,鄒仁鴻,1-34.,教學801,,,,,,校牧室,60,55,2,2,280,國語,,0
◎,,V,,,2510112,GQ101L,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-56.,教學601,,,,,,校牧室,60,55,2,2,402,國語,,0
◎,,,,,2510113,GQ101M,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,蔡俊謙,3-56.,教學510,,,,,,校牧室,60,60,2,2,450,國語,,0
◎,,V,,,2510114,GQ101N,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-12.,教學601,,,,,,校牧室,60,55,2,2,383,國語,,0
◎,,V,,,2510115,GQ101O,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,曾念粵,4-CD.,教學601,,,,,,校牧室,60,55,2,2,1025,國語,,0
◎,,V,,,2510116,GQ101P,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,高天圓,3-56.,教學601,,,,,,校牧室,60,55,2,2,417,國語,,0
◎,,V,,,2510119,GQ101S,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,謝品然,1-EF.,教學601,,,,,全英語授課,校牧室,60,55,2,2,683,英語,,0
◎,,V,,,2510120,GQ101T,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,康克,2-56.,教學801,,,,,全英語授課,校牧室,60,55,2,2,665,英語,,0
◎,,V,,,2510121,GQ101U,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-34.,教學601,,,,,,校牧室,60,55,2,2,378,國語,,0
◎,,V,,,2510122,GQ101V,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,林顯泉,5-78.,教學601,,,,,,校牧室,60,55,2,2,252,國語,,0
◎,,V,,,2510123,GQ101W,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,姜仁圭,1-78.,教學415B,,,,,,校牧室,50,50,2,2,591,國語,,0
◎,,V,,,2510124,GQ101X,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,鄒仁鴻,1-78.,教學801,,,,,,校牧室,60,55,2,2,222,國語,,0
◎,,V,,,2510125,GQ101Y,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-56.,教學601,,,,,,校牧室,60,55,2,2,384,國語,,0
◎,,V,,,2510126,GQ101Z,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,潘秋郎,1-78.,教學601,,,,,,校牧室,60,55,2,2,502,國語,,0
◎,,V,,,2510127,GQ101a,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,康克,2-78.,教學801,,,,,全英語授課,校牧室,60,55,2,2,472,英語,,0
◎,,V,,,2510128,GQ101b,GQ101,宗教哲學,Philosophy of Religion,宗哲,基礎必修通識,必修,半,2,董俐元,3-EF.,教學601,,,,,,校牧室,60,55,2,2,394,國語,,0
◎,,V,,,2520101,GQ201A,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李家遠,2-56.,教學601,,,,,全英語授課,校牧室,60,52,2,2,715,英語,,0
◎,,V,,,2520102,GQ201B,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,陳麗琴,1-CD.,教學312,,,,,,校牧室,60,54,2,2,999,國語,,0
◎,,V,,,2520103,GQ201C,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張寶琪,4-12.,教學601,,,,,,校牧室,60,54,2,2,1402,國語,,0
◎,,V,,,2520104,GQ201D,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李信毅,5-34.,教學801,,,,,,校牧室,60,54,2,2,1712,國語,,0
◎,,V,,,2520106,GQ201F,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,饒張清音,4-12.,教學801,,,,,,校牧室,60,54,2,2,488,國語,,0
◎,,V,,,2520107,GQ201G,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,洪政裕,4-34.,教學402,,,,,,校牧室,60,54,2,2,1010,國語,,0
◎,,V,,,2520108,GQ201H,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,黃介文,5-34.,教學601,,,,,,校牧室,60,54,2,2,742,國語,,0
◎,,V,,,2520109,GQ201I,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,4-EF.,教學515,,,,,,校牧室,90,84,2,1,721,國語,,0
◎,,V,,,2520109,GQ201I,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,吳瑞璋,4-EF.,教學515,,,,,,校牧室,90,84,2,1,721,國語,,0
◎,,V,,,2520110,GQ201J,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張寶琪,4-34.,教學601,,,,,,校牧室,60,54,2,2,1501,國語,,0
◎,,V,,,2520111,GQ201K,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,王學晟,2-12.,教學601,,,,,,校牧室,60,54,2,2,542,國語,,0
◎,,V,,,2520113,GQ201M,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,洪政裕,5-34.,科學103,,,,,,校牧室,60,54,2,2,962,國語,,0
◎,,V,,,2520114,GQ201N,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,3-EF.,教學505,,,,,,校牧室,60,54,2,2,508,國語,,0
◎,,V,,,2520115,GQ201O,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張寶琪,4-56.,教學601,,,,,,校牧室,60,54,2,2,1352,國語,,0
◎,,V,,,2520116,GQ201P,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,王學晟,2-34.,教學601,,,,,,校牧室,60,52,2,2,529,國語,,0
◎,,V,,,2520117,GQ201Q,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張寶琪,4-78.,教學601,,,,,,校牧室,60,54,2,2,1283,國語,,0
◎,,,,,2520118,GQ201R,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,饒張清音,4-34.,教學801,,,,,,校牧室,60,59,2,2,373,國語,,0
◎,,V,,,2520119,GQ201S,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李世堅,2-DE.,教學601,,,,,,校牧室,60,54,2,2,762,國語,,0
◎,,,,,2520120,GQ201T,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,許政行,2-78.,工學314,,,,,,校牧室,60,60,2,2,437,國語,,0
◎,,V,,,2520121,GQ201U,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李世堅,2-FG.,教學601,,,,,,校牧室,60,54,2,2,503,國語,,0
◎,,V,,,2520122,GQ201V,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,陳至信,5-34.,教學302,,,,,,校牧室,90,84,2,2,410,國語,,0
◎,,V,,,2520123,GQ201W,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李清義,3-56.,教學801,,,,,,校牧室,60,52,2,2,1384,國語,,0
◎,,V,,,2520124,GQ201X,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,劉佩琳,1-EF.,教學502,,,,,,校牧室,60,54,2,2,452,國語,,0
◎,,,,,2520125,GQ201Y,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,張孝慧,4-56.,教學312,,,,,,校牧室,60,60,2,2,342,國語,,0
◎,,V,,,2520126,GQ201Z,GQ201,人生哲學,Philosophy of Life,人哲,基礎必修通識,必修,半,2,李清義,3-78.,教學801,,,,,,校牧室,60,54,2,2,1254,國語,,0
◎,,,,,2539201,GQ392A,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,陳宏銘,3-78.,懷恩104,,,,,法學院得不選修,通識中心,60,48,2,2,533,國語,,0
◎,,,,,2539202,GQ392B,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,陳宏銘,5-34.,教學818,,,,,法學院得不選修,通識中心,60,48,2,2,531,國語,,0
◎,,,,,2539203,GQ392C,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,魏澤民,1-34.,教學109,,,,,非同步遠距；法學院得不選修,通識中心,125,100,2,2,337,國語,,0
◎,,,,,2539204,GQ392D,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,魏澤民,1-56.,教學109,,,,,非同步遠距；法學院得不選修,通識中心,125,100,2,2,333,國語,,0
◎,,,,,2539205,GQ392E,GQ392,台灣政治與民主,Taiwan Politics and Democracy,公民,基礎必修通識,必修,半,2,黃國清,1-56.,懷恩201,,,,,法學院得不選修,通識中心,60,48,2,2,252,國語,,0
◎,,,,,2539301,GQ393A,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳德義,1-EF.,教學317,,,,,法學院得不選修,通識中心,60,48,2,2,961,國語,,0
◎,,,,,2539302,GQ393B,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳進郁,4-56.,懷恩204,,,,,法學院得不選修,通識中心,60,48,2,2,737,國語,,0
◎,,,,,2539303,GQ393C,GQ393,法律與現代生活,Law and The Modern Life,公民,基礎必修通識,必修,半,2,陳進郁,4-78.,懷恩204,,,,,法學院得不選修,通識中心,60,48,2,2,685,國語,,0
◎,,,,,2539401,GQ394A,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,陳宏銘,2-34.,教學615,,,,,法學院得不選修,通識中心,60,43,2,2,487,國語,,0
◎,,,,,2539402,GQ394B,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,陳宏銘,2-78.,懷恩104,,,,,法學院得不選修,通識中心,60,43,2,2,501,國語,,0
◎,,,,,2539403,GQ394C,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,彭鳳貞,4-78.,教學612,,,,,法學院得不選修,通識中心,60,43,2,2,408,國語,,0
◎,,,,,2539404,GQ394D,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,1-CD.,教學505,,,,,法學院得不選修,通識中心,95,71,2,2,901,國語,,0
◎,,,,,2539405,GQ394E,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,4-CD.,教學301,,,,,法學院得不選修,通識中心,95,71,2,2,952,國語,,0
◎,,,,,2539406,GQ394F,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,施少棠,1-78.,教學302,,,,,法學院得不選修,通識中心,60,43,2,2,588,國語,,0
◎,,,,,2539407,GQ394G,GQ394,當代人權議題與挑戰,Contemporary Human Rights Issues and Challenges,公民,基礎必修通識,必修,半,2,彭鳳貞,4-56.,教學318,,,,,法學院得不選修,通識中心,60,43,2,2,311,國語,,0
◎,,,,,2539501,GQ395A,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,黃國清,2-34.,懷恩203,,,,,法學院得不選修,通識中心,60,43,2,2,512,國語,,0
◎,,,,,2539502,GQ395B,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,黃國清,2-56.,懷恩103,,,,,法學院得不選修,通識中心,60,43,2,2,636,國語,,0
◎,,,,,2539503,GQ395C,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,何彩滿,3-12.,教學302,,,,,法學院得不選修,通識中心,60,43,2,2,533,國語,,0
◎,,,,,2539504,GQ395D,GQ395,生活社會學,Sociology of Everyday Life,公民,基礎必修通識,必修,半,2,何彩滿,4-34.,教學310,,,,,法學院得不選修,通識中心,60,43,2,2,626,國語,,0
◎,,,,,2539601,GQ396A,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,沈豪挺,1-EF.,教學618,,,,,僑外生專班，非此身份選課承辦人得逕行刪課；法學院得不選修,通識中心,60,48,2,2,256,國語,,0
◎,,,,,2539602,GQ396B,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,林能山,4-DE.,教學302,,,,,法學院得不選修,通識中心,60,48,2,2,544,國語,,0
◎,,,,,2539603,GQ396C,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,林能山,4-FG.,教學302,,,,,法學院得不選修,通識中心,60,48,2,2,356,國語,,0
◎,,,,,2539604,GQ396D,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,何彩滿,2-34.,教學801,,,,,法學院得不選修,通識中心,60,48,2,2,404,國語,,0
◎,,,,,2539605,GQ396E,GQ396,全球化大議題,Big Issues of Globalization,公民,基礎必修通識,必修,半,2,何彩滿,2-78.,教學618,,,,,法學院得不選修,通識中心,60,48,2,2,405,國語,,0
◎,,,,,2539701,GQ397A,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,牟萬馨,3-56.,教學618,,,,,法學院得不選修,通識中心,60,48,2,2,879,國語,,0
◎,,,,,2539702,GQ397B,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,姜樹翰,1-56.,懷恩106,,,,,法學院得不選修,通識中心,60,48,2,2,719,國語,,0
◎,,,,,2539703,GQ397C,GQ397,經濟學的世界,The World of Economics,公民,基礎必修通識,必修,半,2,姜樹翰,1-78.,懷恩106,,,,,法學院得不選修,通識中心,60,48,2,2,848,國語,,0
◎,,,,,2545601,GQ456A,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,游智勝,5-56.,懷恩203,,,,,,通識中心,60,48,2,2,604,國語,,0
◎,,,,,2545602,GQ456B,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,游智勝,5-78.,懷恩203,,,,,,通識中心,60,48,2,2,576,國語,,0
◎,,,,,2545603,GQ456C,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,王瑞傑,3-DE.,教學302,,,,,,通識中心,60,48,2,2,573,國語,,0
◎,,,,,2545604,GQ456D,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,王瑞傑,3-FG.,教學302,,,,,,通識中心,60,48,2,2,393,國語,,0
◎,,,,,2545605,GQ456E,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-8C.,教學317,,,,,,通識中心,75,60,2,2,569,國語,,0
◎,,,,,2545606,GQ456F,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-DE.,教學317,,,,,,通識中心,75,60,2,2,858,國語,,0
◎,,,,,2545607,GQ456G,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,陳仲志,4-FG.,教學317,,,,,,通識中心,75,60,2,2,633,國語,,0
◎,,,,,2545608,GQ456H,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,楊凡逸,2-34.,教學302,,,,,全英語授課,通識中心,85,68,2,2,174,英語,,0
◎,,,,,2545609,GQ456I,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,楊凡逸,2-56.,教學402,,,,,,通識中心,85,68,2,2,364,國語,,0
◎,,,,,2545610,GQ456J,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,蔡長廷,1-56.,教學812,,,,,,通識中心,60,48,2,2,172,國語,,0
◎,,,,,2545611,GQ456K,GQ456,區域文明史,History of Regional Civilizations,歷史,基礎必修通識,必修,半,2,蔡長廷,1-78.,教學812,,,,,,通識中心,60,48,2,2,201,國語,,0
◎,,,,,2545701,GQ457A,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,柯惠鈴,2-34.,教學816,,,,,,通識中心,60,45,2,2,347,國語,,0
◎,,,,,2545702,GQ457B,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,柯惠鈴,2-78.,教學816,,,,,,通識中心,60,45,2,2,396,國語,,0
◎,,,,,2545703,GQ457C,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,柯惠鈴,3-78.,教學615,,,,,,通識中心,60,45,2,2,542,國語,,0
◎,,,,,2545704,GQ457D,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,柯惠鈴,4-34.,教學615,,,,,,通識中心,60,45,2,2,381,國語,,0
◎,,,,,2545705,GQ457E,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,姜仁圭,1-CD.,教學302,,,,,,通識中心,85,65,2,2,450,國語,,0
◎,,,,,2545706,GQ457F,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,姜仁圭,1-EF.,教學302,,,,,,通識中心,85,65,2,2,364,國語,,0
◎,,,,不得停修,2545707,GQ457G,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,劉明憲,4-CD.,教學618,,,,,,通識中心,60,45,2,2,260,國語,,0
◎,,,,,2545708,GQ457H,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,談士榮,5-34.,教學401,,,,,,通識中心,60,45,2,2,357,國語,,0
◎,,,,,2545709,GQ457I,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,談士榮,5-56.,教學818,,,,,,通識中心,60,45,2,2,298,國語,,0
◎,,,,,2545710,GQ457J,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,談士榮,5-78.,教學818,,,,,,通識中心,60,45,2,2,223,國語,,0
◎,,,,,2545711,GQ457K,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,林峻煒,3-EF.,教學410,,,,,,通識中心,60,45,2,2,162,國語,,0
◎,,,,,2545712,GQ457L,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,陳奕亨,4-56.,教學618,,,,,,通識中心,60,45,2,2,331,國語,,0
◎,,,,,2545713,GQ457M,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,陳奕亨,4-78.,教學618,,,,,,通識中心,60,45,2,2,288,國語,,0
◎,,,,,2545714,GQ457N,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,鄭巧君,2-56.,懷恩105,,,,,,通識中心,60,45,2,2,239,國語,,0
◎,,,,,2545715,GQ457O,GQ457,文化思想史,History of Cultures and Thoughts,歷史,基礎必修通識,必修,半,2,鄭巧君,2-78.,懷恩105,,,,,,通識中心,60,45,2,2,172,國語,,0
◎,,,,,2550101,GQ501A,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,蘇金豆,5-56.,教學412,,,,,大一修課，企管一丙為主，理學院不得選修,通識中心,75,65,2,2,19,國語,,2
◎,,,,,2550101,GQ501A,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,鄭憲永,5-56.,教學412,,,,,大一修課，企管一丙為主，理學院不得選修,通識中心,75,65,2,0.5,19,國語,,2
◎,,,,,2550102,GQ501B,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,鄭憲永,5-78.,教學412,,,,,大一修課，室設一雙號為主，理學院不得選修,通識中心,75,52,2,0.5,21,國語,,8
◎,,,,,2550102,GQ501B,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,蘇金豆,5-78.,教學412,,,,,大一修課，室設一雙號為主，理學院不得選修,通識中心,75,52,2,2,21,國語,,8
◎,,,,,2550103,GQ501C,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,黃俊哲,4-78.,教學412,,,,,大一修課，應華一甲為主，理學院不得選修,通識中心,75,64,2,2,26,國語,,1
◎,,,,,2550103,GQ501C,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,蘇志文,4-78.,教學412,,,,,大一修課，應華一甲為主，理學院不得選修,通識中心,75,64,2,0.5,26,國語,,1
◎,,,,,2550104,GQ501D,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,蘇志文,4-CD.,教學412,,,,,大一修課，室設一單號為主，理學院不得選修,通識中心,75,51,2,0.5,13,國語,,9
◎,,,,,2550104,GQ501D,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,黃俊哲,4-CD.,教學412,,,,,大一修課，室設一單號為主，理學院不得選修,通識中心,75,51,2,2,13,國語,,9
◎,,,,,2550105,GQ501E,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,林志輝,4-12.,教學412,,,,,大一修課，企管一丁為主，理學院不得選修,通識中心,75,60,2,2,12,國語,,5
◎,,,,,2550105,GQ501E,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,王佳盈,4-12.,教學412,,,,,大一修課，企管一丁為主，理學院不得選修,通識中心,75,60,2,0.5,12,國語,,5
◎,,,,,2550106,GQ501F,GQ501,自然科學導論,Introduction to Natural Science,科學,基礎必修通識,必修,半,2,王佳盈,4-34.,教學412,,,,,大一修課，財法一乙、原專班一為主，理學院不得選修,通識中心,75,65,2,0.5,12,國語,,4
